num_dossier,Id_real,Categoria,Text,chatgpt_biaix,chatgpt_desinfo,chatgpt_emocional,gemini_biaix,gemini_desinfo,gemini_emocional
1,109,Desinformació,"@CarlosHQuero sobre la vivienda social: ""En Majadahonda (Madrid) los extranjeros se han llevado casi el 50% de las viviendas sociales representando el 12% de la población. El porcentaje de vivienda social que le corresponde a un extranjero es 0, porque los impuestos que pagan los españoles sin casa tienen que ser para los españoles sin casa"".",alta,lleu,moderada,moderada,moderada,lleu
2,106,Llenguatge emocional,Pedro Sánchez consuma su traición a España y a los españoles. Amnistía y referéndum a cambio de votos. España humillada y de rodillas por su interés personal. En la #RegióndeMurcia recurriremos a la Justicia para evitar esta barbaridad.,alta,nul·la,alta,alta,moderada,alta
3,104,Llenguatge emocional,"""Los impuestos y el dinero de los españoles están para vivienda, para servicios públicos y para atender a los españoles; no están ni para menas ni para mordidas, ni para mantener a media África"". Los españoles primero.",alta,moderada,alta,alta,moderada,alta
4,18,Llenguatge emocional,"España ya es otra, España ya ha cambiado y no vamos a parar hasta que la dignidad se haga costumbre... que viva la furia trans, que viva el orgullo LGTBI... que viva la lucha antiracista y que viva la lucha de las mujeres",moderada,nul·la,alta,alta,nul·la,alta
5,103,Biaix ideològic,"Mariano Rajoy, protagonista inesperado del Francia-España, sigue acumulando críticas y se mantiene firme: ""No me voy a poner al nivel de ciertos ministros españoles"". La previa de la semifinal del Mundial entre España y Francia ha quedado eclipsada por una polémica que ha trascendido el terreno de juego. El expresidente del Gobierno Mariano Rajoy se ha convertido en el protagonista inesperado del duelo después de publicar una columna de opinión en el diario El Debate en la que afirmó que la selección francesa tiene ""un altísimo nivel, eso sí, sin franceses"". La frase ha provocado una cascada de reacciones políticas e institucionales a ambos lados de los Pirineos, con acusaciones de racismo y xenofobia, críticas desde el Gobierno español y francés, respuestas de dirigentes de todos los signos políticos e incluso pronunciamientos de representantes del fútbol.",lleu,nul·la,moderada,nul·la,nul·la,nul·la
6,110,Desinformació,"Os presento a CruzMoha una supuesta ONG. que hace mucho que dejó de ser una ONG para convertirse en una empresa dedicada al tráfico de personas, entre otras cosas. Una empresa que, cuando nuestra gente se ahogaba en Valencia entre el lodo y el agua, no solo apareció días después, sino que, cuando apareció, por supuesto, ni una sola mancha de barro. Además, se dedicó a confiscar los bienes que estaba donando la gente para acabar quién sabe dónde. Pero, oye, desalojan un instituto ocupado ilegalmente, en su mayoría por inmigrantes ilegales que llevan años delinquiendo y atemorizando a la gente de Badalona, convirtiendo el barrio en un infierno, y allí te aparecen ONGs a tutiplén. Encima pretenden dar lecciones de solidaridad y de moralidad. ¿Pero de qué cojones vais? Claro que ayudar a Juan el panadero de Paiporta, que no solo perdió a su madre en la supuesta riada, sino que perdió todo su negocio y prácticamente toda su vida, no dan subvenciones millonarias. Si ayudas a ""Musampa y Mogombo"" ahí la Unión Europea y el gobierno de turno te untan, pero a billetes. Si esto es tan real que no me podéis ni me vais a denunciar por lo que pongo en este vídeo ni por lo que he puesto anteriormente en otros tantos que os he dedicado. ¡PUTREFACTOS! A ver si la gente se entera de una vez de que estos son mafias, mafias de los pies a la cabeza. Tienen la solidaridad selectiva porque su jefe no es la conciencia ni la empatía; es el Gobierno y los fondos de Bruselas. Y, si defiendes esto, te deseo lo mejor, porque lo peor ya lo tienes. Estás podrido.",alta,alta,alta,alta,alta,alta
7,2,Biaix ideològic,"El congreso de Movimiento Sumar ratifica sin oposición a Verónica Martínez y Rosa Martínez como nuevas líderes. El partido elige a sus nuevas co-coordinadoras en sustitución de Lara Hernández en un congreso sin fuste y que evidencia la debilidad de la organización tras el paso atrás de Yolanda Díaz. La portavoz de la coalición Sumar en el Congreso, Verónica Martínez, y la secretaria de Estado de Derechos Sociales, Rosa Martínez, fueron elegidas nuevas líderes de Movimiento Sumar —el más pequeño de los partidos de la alianza— en la asamblea extraordinaria celebrada este sábado, la tercera en apenas tres años de vida de la organización. Martínez y Martínez fueron apoyadas por el 95,92% de los delegados enviados por los territorios a un congreso sin fuste y que se desarrolló sin que la formación permitiera la presencia de la prensa durante el día. Martínez y Martínez sustituyen en el liderazgo del menguado partido a Lara Hernández, que el pasado 1 de julio abandonó la formación denunciando ser víctima de una “campaña de desprestigio” tras el archivo de las denuncias internas por acoso contra ella. La candidatura de las nuevas co-coordinadoras de Movimiento Sumar es la única que se presentó para liderar la formación fundada en 2023 por Yolanda Díaz, que se desentendió de las labores orgánicas en 2024 y que este sábado se limitó a acudir como público al mitin de cierre que ofrecieron Martínez y Martínez. Sus intervenciones fueron precedidas por las del líder de UGT, Pepe Álvarez, la secretaria de Mujeres e Igualdad de CCOO, Carolina Vidal, o la eurodiputada Estrella Galán. Tras la dimisión de Hernández, y ante la falta de debate interno en relación a una hoja de ruta política que se actualizó hace poco más de un año, todos los debates llegaban ya cocinados al congreso. Y, como se esperaba, la reunión de este sábado fue de trámite y evidenció la debilidad de la organización, que ni tan siquiera llenó las en torno a 400 plazas del salón de actos del Colegio Oficial de Odontólogos (COEM), donde se celebró la asamblea. La principal novedad que salió de ella fue la creación de un colectivo juvenil de Movimiento Sumar y la puesta en marcha de un nuevo órgano, llamado “Consejo Territorial”, para representar a las diferentes federaciones autonómicas del partido, que se reunirán al menos una vez cada tres meses. Con su elección como nuevas líderes, Martínez y Martínez tratarán de dar carpetazo a la crisis más grave de la corta vida de Movimiento Sumar, abierta conocerse las acusaciones de acoso laboral contra Lara Hernández. No obstante, el futuro del partido, una vez Yolanda Díaz ha anunciado que dejará la política al final de la legislatura, está sumido en un mar de dudas. La formación debe encontrar un encaje dentro de la coalición con Más Madrid, Comuns e IU, y es una incógnita, incluso, si hay lugar para esta organización en un espacio —el de las izquierdas de ámbito estatal— copado por IU y Podemos. En su discurso tras ser formalmente nombrada nueva co-coordinadora, Verónica Martínez se refirió precisamente a este asunto para reivindicar que Movimiento Sumar, pese a que apenas tiene estructuras y militantes, sigue siendo necesario. “Si hay algo que hemos ido comprobando y demostrando mientras gobernamos es que la España que queremos solo la puede construir la izquierda, pero también que no lo hará una sola organización, ni tampoco una sola tradición política”, sostuvo Martínez, que afirmó que “las izquierdas nunca hemos necesitado pensar exactamente igual para cambiar la vida de la gente”. “Lo que necesitamos es compartir un propósito y entender que la riqueza de un proyecto no está en que desaparezcan las diferencias, sino en ser capaces de ponerlas al servicio de un objetivo común”, planteó. Y “esa”, dijo, “es la idea de frente común en la que creemos: no una suma de siglas ni un reparto de espacios, sino un proyecto compartido entre organizaciones que saben que hay momentos en los que defender la propia identidad consiste, precisamente, en ser capaces de construir con quien no piensa idéntico”. En la misma línea se expresó Rosa Martínez, que se mostró partidaria de “explorar todas las posibilidades que nos permitan construir un frente amplio a partir del trabajo conjunto que llevamos tiempo realizando con Comuns, Más Madrid e IU”. “Un frente amplio que dé respuesta a la exigencia de la gente de izquierdas, la gente progresista, la gente trabajadora que no desea un gobierno de PP y Vox”, planteó.",moderada,nul·la,moderada,moderada,nul·la,lleu
8,102,Biaix ideològic,"El PP enfanga las relaciones con Francia en vísperas de la semifinal del mundial. Los populares rechazaron la semana pasada el tratado de amistad con el país vecino, lo que se suma al revuelo generado por Rajoy lanzando el bulo racista de que la mayoría de los jugadores de la selección gala ""no son franceses"" por su color de piel. Este martes, las selecciones de fútbol masculino de España y Francia pelearán en semifinales por intentar llegar a la final del Mundial que está teniendo lugar en EEUU, México y Canadá. Pero en vísperas del encuentro el Partido Popular está enfangando las relaciones con el país vecino tanto por una de sus últimas decisiones parlamentarias como a través de uno de sus referentes, el expresidente del Gobierno Mariano Rajoy.",alta,lleu,alta,alta,moderada,alta
9,105,Llenguatge emocional,"INTOLERABLE. Un sujeto se hace pasar por un fan de las columnas de Rajoy para soltar un discurso xenófobo y racista INACEPTABLE, llegando a decir que Lamine Yamal no es español. ESTO NO SE PUEDE PERMITIR NI EN UNA TV, NI EN NINGÚN ESPACIO EN ESTE PAÍS. ESTO ES UNA VERGÜENZA.",lleu,nul·la,alta,lleu,nul·la,moderada
10,1,Biaix ideològic,"Sumar sigue sin rumbo: elige a Rosa Martínez y Verónica Barbero coordinadoras tras la 'fuga' de sus principales líderes. Admite el ""desgaste"" por los casos de corrupción del PSOE y se abre a ""alianzas coyunturales"" con partidos independentistas. La portavoz del Grupo de Sumar en el Congreso, Verónica Martínez Barbero, y la secretaria de Estado de Derechos Sociales, Rosa Martínez, han sido elegidas este sábado nuevas coordinadoras del Movimiento Sumar, en la asamblea extraordinaria del partido que se celebra en Madrid. Rosa Martínez fue diputada de Unidas Podemos por Vizcaya, en representación de Equo. Abandonó la formación morada en 2020 tras perder las primarias para ser candidata a lehendakari.Ya ejerció como coordinadora interina de Sumar tras la renuncia de Yolanda Díaz. Es licenciada en Ciencias Políticas por la Universidad Complutense. Por su parte, Verónica Martínez Barbero fue directora general de Trabajo, en la Vicepresidencia del Gobierno que ocupaba Pablo Iglesias.Asumió la portavocía del grupo plurinacional Sumar en el Congreso como figura de consenso tras la dimisión de Íñigo Errejón, acusado de acoso sexual. Pertenece al cuerpo de Inspectores de Trabajo por oposición. Ambas encabezaban la única candidatura presentada para el grupo coordinador Sumar, el máximo órgano de dirección del partido, y han recibido el apoyo del 95,92% de los 300 delegados que asisten a la asamblea. Sumar intenta cerrar así la herida abierta por la marcha de la anterior coordinadora, Lara Hernández, que había sido denunciada por presunto acoso laboral. Pero el partido no logra resolver su vacío de liderazgo, tras el paso atrás de Yolanda Díaz, quien ha abandonado los órganos de dirección, tras anunciar que no participará en las próximas elecciones. El único referente que continúa en esta nueva etapa es el ministro de Cultura y portavoz de Movimiento Sumar, Ernest Urtasun, aunque todavía se desconoce el cargo que ocupará en la nueva ejecutiva. El documento político-organizativo aprobado reconoce el ""desgaste"" que sufre el Gobierno y la formación, debido a las causas judiciales que afectan al PSOE. Y abre la puerta a alcanzar ""alianzas coyunturales"" con fuerzas independentistas, tras el ofrecimiento de Gabriel Rufián (ERC) a liderar una gran plataforma de extrema izquierda en las próximas elecciones generales. El documento aprobado también sostiene que en España ""aún no existe una democracia plenamente igualitaria"", debido al auge de los discursos ""antifeministas y reaccionarios, que buscan cuestionar los derechos de las mujeres y frenar los avances sociales"", informa Efe. Movimiento Sumar reivindica un feminismo interseccional, de clase y democrático, que ""sitúe la erradicación de las violencias machistas como una responsabilidad colectiva de las instituciones y de toda la sociedad"". Otro de los retos que afronta el partido es su falta de implantación en las distintas regiones. Para resolver esta carencia, la asamblea ha creado un Consejo Territorial ""descentralizado"" como órgano permanente de coordinación y representación, en el que participarán los representantes de las distintas agrupaciones ""plurinacionales"" que se constituyan. Además, Sumar celebrará cada tres meses una Conferencia Territorial, en la que participarán estas agrupaciones para definir de forma vinculante la estrategia política estatal del partido. Sus acuerdos, cuando alcancen mayoría cualificada, deberán ser debatidos y votados por los órganos estatales en un plazo máximo de treinta días.

",moderada,lleu,moderada,moderada,nul·la,lleu
