Categoria,Id,Text,Font,Data de publicació,Ideologia
Biaix ideològic,101,"El PP quita hierro a la frase de Rajoy que provocó un choque diplomático con Francia: ""Fue sin mala intención"". Lo que empezó como una columna de Mariano Rajoy sobre la semifinal del Mundial que se disputará este martes entre España y Francia acabó en un nuevo frente de confrontación política entre el Gobierno y el Partido Popular. La frase del expresidente —la selección francesa tiene «una plantilla de altísimo nivel, eso sí, sin franceses»— desencadenó una respuesta coordinada de la Moncloa, que desplegó durante toda la jornada del lunes a varios ministros para exigir a Alberto Núñez Feijóo que se desmarque de quien presidió el Gobierno durante siete años.",El Confidencial,13/07/2026,Dreta
Biaix ideològic,102,"El PP enfanga las relaciones con Francia en vísperas de la semifinal del mundial. Los populares rechazaron la semana pasada el tratado de amistad con el país vecino, lo que se suma al revuelo generado por Rajoy lanzando el bulo racista de que la mayoría de los jugadores de la selección gala ""no son franceses"" por su color de piel. Este martes, las selecciones de fútbol masculino de España y Francia pelearán en semifinales por intentar llegar a la final del Mundial que está teniendo lugar en EEUU, México y Canadá. Pero en vísperas del encuentro el Partido Popular está enfangando las relaciones con el país vecino tanto por una de sus últimas decisiones parlamentarias como a través de uno de sus referentes, el expresidente del Gobierno Mariano Rajoy.",elDiario.es,13/07/2026,Esquerra
Biaix ideològic,103,"Mariano Rajoy, protagonista inesperado del Francia-España, sigue acumulando críticas y se mantiene firme: ""No me voy a poner al nivel de ciertos ministros españoles"". La previa de la semifinal del Mundial entre España y Francia ha quedado eclipsada por una polémica que ha trascendido el terreno de juego. El expresidente del Gobierno Mariano Rajoy se ha convertido en el protagonista inesperado del duelo después de publicar una columna de opinión en el diario El Debate en la que afirmó que la selección francesa tiene ""un altísimo nivel, eso sí, sin franceses"". La frase ha provocado una cascada de reacciones políticas e institucionales a ambos lados de los Pirineos, con acusaciones de racismo y xenofobia, críticas desde el Gobierno español y francés, respuestas de dirigentes de todos los signos políticos e incluso pronunciamientos de representantes del fútbol.",Infobae,13/07/2026,Central
Llenguatge emocional,104,"""Los impuestos y el dinero de los españoles están para vivienda, para servicios públicos y para atender a los españoles; no están ni para menas ni para mordidas, ni para mantener a media África"". Los españoles primero.","X (@vox_es), discurs de @Igarrigavaz",09/04/2026,Dreta
Llenguatge emocional,105,"INTOLERABLE. Un sujeto se hace pasar por un fan de las columnas de Rajoy para soltar un discurso xenófobo y racista INACEPTABLE, llegando a decir que Lamine Yamal no es español. ESTO NO SE PUEDE PERMITIR NI EN UNA TV, NI EN NINGÚN ESPACIO EN ESTE PAÍS. ESTO ES UNA VERGÜENZA.",X (@_PabloFdez_),13/07/2026,Esquerra
Llenguatge emocional,106,Pedro Sánchez consuma su traición a España y a los españoles. Amnistía y referéndum a cambio de votos. España humillada y de rodillas por su interés personal. En la #RegióndeMurcia recurriremos a la Justicia para evitar esta barbaridad.,X (@LopezMirasF),09/11/2023,Dreta
Llenguatge emocional,107,"Los insultos y cánticos racistas nos avergüenzan como sociedad. La extrema derecha no va a dejar un espacio libre de su odio y quienes hoy callan, serán cómplices. Seguimos trabajando por un país tolerante y respetuoso con todos.",X (@felixbolanosg),01/04/2026,Esquerra
Llenguatge emocional,108,El racismo y la xenofobia son enfermedades graves del alma. No vamos a permitir que nadie introduzca ese veneno en nuestro país. Feijóo debe desautorizar las declaraciones de Rajoy.,X (@jmalbares),13/07/2026,Esquerra
Desinformació,109,"@CarlosHQuero sobre la vivienda social: ""En Majadahonda (Madrid) los extranjeros se han llevado casi el 50% de las viviendas sociales representando el 12% de la población. El porcentaje de vivienda social que le corresponde a un extranjero es 0, porque los impuestos que pagan los españoles sin casa tienen que ser para los españoles sin casa"".","X (@vox_es), discurs de @CarlosHQuero",25/02/2026,Dreta
Desinformació,110,"Os presento a CruzMoha una supuesta ONG. que hace mucho que dejó de ser una ONG para convertirse en una empresa dedicada al tráfico de personas, entre otras cosas. Una empresa que, cuando nuestra gente se ahogaba en Valencia entre el lodo y el agua, no solo apareció días después, sino que, cuando apareció, por supuesto, ni una sola mancha de barro. Además, se dedicó a confiscar los bienes que estaba donando la gente para acabar quién sabe dónde. Pero, oye, desalojan un instituto ocupado ilegalmente, en su mayoría por inmigrantes ilegales que llevan años delinquiendo y atemorizando a la gente de Badalona, convirtiendo el barrio en un infierno, y allí te aparecen ONGs a tutiplén. Encima pretenden dar lecciones de solidaridad y de moralidad. ¿Pero de qué cojones vais? Claro que ayudar a Juan el panadero de Paiporta, que no solo perdió a su madre en la supuesta riada, sino que perdió todo su negocio y prácticamente toda su vida, no dan subvenciones millonarias. Si ayudas a ""Musampa y Mogombo"" ahí la Unión Europea y el gobierno de turno te untan, pero a billetes. Si esto es tan real que no me podéis ni me vais a denunciar por lo que pongo en este vídeo ni por lo que he puesto anteriormente en otros tantos que os he dedicado. ¡PUTREFACTOS! A ver si la gente se entera de una vez de que estos son mafias, mafias de los pies a la cabeza. Tienen la solidaridad selectiva porque su jefe no es la conciencia ni la empatía; es el Gobierno y los fondos de Bruselas. Y, si defiendes esto, te deseo lo mejor, porque lo peor ya lo tienes. Estás podrido.",TikTok (@franxuh__),24/12/2025,Dreta
