Id,Categoria,Ideologia,biaix_intensitat,biaix_fragment,biaix_explicacio,desinformacio_intensitat,desinformacio_fragment,desinformacio_explicacio,emocional_intensitat,emocional_fragment,emocional_explicacio
1,Biaix ideològic,Dreta,alta,"Sumar sigue sin rumbo: elige a Rosa Martínez y Verónica Barbero coordinadoras tras la 'fuga' de sus principales líderes. Admite el ""desgaste"" por los casos de corrupción del PSOE y se abre a ""alianzas coyunturales"" con partidos independentistas.","El titular concentra un framing negatiu sistemàtic amb múltiples indicadors coordinats: 'sin rumbo' (desqualificació global del partit), 'fuga' (dramatitza les sortides com a abandonament desesperat), 'desgaste' (reforça la narrativa de crisi), 'vacío de liderazgo' i 'herida abierta' al cos del text. A més, els verbs carregats com 'admite' impliquen culpabilitat, i 'no logra resolver' reforça la incompetència. Es presenten 6+ indicis coordinats que construeixen una narrativa unidireccional de caos i fracàs del partit, sense cap contrapunt positiu ni equilibri informatiu. L'ús d'«extrema izquierda» per descriure la proposta de Rufián afegeix una etiqueta valorativa addicional.",lleu,tras el ofrecimiento de Gabriel Rufián (ERC) a liderar una gran plataforma de extrema izquierda en las próximas elecciones generales,"Qualificar la proposta de Rufián com a 'plataforma de extrema izquierda' és una caracterització que no es correspon necessàriament amb els termes exactes de l'oferiment original, sinó que és una interpretació carregada del mitjà. A més, algunes afirmacions com 'el partido no logra resolver su vacío de liderazgo' es presenten com a fets objectius quan són valoracions editorials. No hi ha dades numèriques falses evidents, però sí una generalització interpretativa sense font directa.",moderada,sin rumbo / 'fuga' de sus principales líderes / herida abierta / vacío de liderazgo / desgaste,"El text acumula 4-5 recursos emocionals coordinats: metàfores dramàtiques ('herida abierta', 'fuga', 'vacío'), paraules carregades negativament ('sin rumbo', 'desgaste') i una estructura narrativa que apel·la a la sensació de crisi i descomposició. Tot i que no hi ha exclamacions, majúscules ni urgència explícita, la saturació de metàfores negatives genera una càrrega emocional moderada que condiciona la lectura del text cap a una percepció de fracàs inevitable."
2,Biaix ideològic,Esquerra,alta,un congreso sin fuste y que evidencia la debilidad de la organización tras el paso atrás de Yolanda Díaz / menguado partido / se desentendió de las labores orgánicas / todos los debates llegaban ya cocinados al congreso / ni tan siquiera llenó las en torno a 400 plazas / está sumido en un mar de dudas / apenas tiene estructuras y militantes,"El text presenta un framing negatiu sistemàtic i coordinat contra Movimiento Sumar amb 6+ indicis clars: (1) 'sin fuste' repetit dues vegades, desqualificant l'acte; (2) 'debilidad de la organización' com a diagnòstic editorial; (3) 'menguado partido' com a adjectiu valoratiu denigrant; (4) 'se desentendió' implica abandó culpable de Díaz; (5) 'cocinados' suggereix absència de democràcia interna; (6) 'ni tan siquiera llenó las 400 plazas' amplifica la feblesa amb dades concretes; (7) 'sumido en un mar de dudas' i 'es una incógnita incluso si hay lugar para esta organización' qüestionen la pròpia raó de ser del partit. Tot el text està estructurat per transmetre una narrativa de decadència, irrellevància i fracàs organitzatiu, sense oferir cap contrapunt positiu ni veu interna que contradigui aquesta lectura, excepte les cites literals de les líders al final que queden emmarcades com a defensa davant l'evidència de feblesa.",lleu,ni tan siquiera llenó las en torno a 400 plazas del salón de actos del Colegio Oficial de Odontólogos (COEM),"La dada de les 400 places i la referència al COEM són verificables, però el text afirma que no es va omplir sense citar cap font ni xifra concreta d'assistència, cosa que converteix aquesta afirmació en una observació editorial presentada com a fet. Igualment, l'afirmació que Díaz 'se desentendió de las labores orgánicas en 2024' és una interpretació sense font atribuïda. No hi ha falsedats flagrants ni narrativa enganyosa coordinada, però sí generalitzacions editorials ('todos los debates llegaban ya cocinados') sense evidència citada.",moderada,la crisis más grave de la corta vida de Movimiento Sumar / sumido en un mar de dudas / debilidad / menguado / sin fuste / dar carpetazo / campaña de desprestigio,"Hi ha 4-5 recursos emocionals coordinats: (1) paraules emocionals negatives acumulades ('crisis', 'debilidad', 'menguado', 'sin fuste'); (2) metàfores dramàtiques ('sumido en un mar de dudas', 'dar carpetazo'); (3) hipèrbole amb 'la crisis más grave'; (4) la referència a 'campaña de desprestigio' i 'acoso' carrega emocionalment el context de la sortida de Hernández. No arriba a alta perquè no hi ha urgència explícita ('ara o mai'), ni majúscules, ni exclamacions, ni apel·lacions directes a la identitat del lector, però la saturació de vocabulari negatiu coordinat supera clarament el nivell lleu."
3,Biaix ideològic,Central ,moderada,suturar sus propias heridas internas / un duro golpe orgánico / crisis interna aún latente y un perfil público debilitado / desorientación progresista / la presión de sus aliados amenaza con asfixiar los tiempos / Es un rompecabezas de difícil solución,"El text presenta un framing negatiu coordinat i sostingut sobre Sumar: 'suturar heridas', 'duro golpe', 'crisis latente', 'perfil debilitado', 'desorientación', 'asfixiar', 'rompecabezas de difícil solución'. Són 6+ expressions de framing negatiu, però no arriben a biaix alta perquè no hi ha insults directes, polarització nosaltres/ells, ni denigració explícita d'una ideologia. Es tracta d'un framing negatiu estructural moderat: el text narra fets reals (dimissions, crisis orgànica) però els embolcalla sistemàticament amb vocabulari que emfatitza el caos i la debilitat, sense oferir un contrapunt equilibrat (el 95,92% de suport o el 98,96% d'aprovació es presenten com a dades menors davant la narrativa dominant de crisi).",lleu,"perfiles externos como el líder de CCOO, Unai Sordo, continúan flotando en unas quinielas","El text presenta rumors i especulacions ('quinielas', 'continúan flotando') sense citar cap font concreta que avali que Unai Sordo sigui realment un candidat considerat. La majoria de dades factuals (percentatges, càrrecs, dates) són atribuïdes a 'fuentes de la organización' o són verificables públicament. No hi ha narrativa enganyosa coordinada, però sí una generalització especulativa presentada com a informació rellevant sense suport documental clar.",moderada,suturar sus propias heridas internas / un duro golpe orgánico / campaña de desprestigio / desorientación progresista / la presión de sus aliados amenaza con asfixiar los tiempos / El reloj corre / Es un rompecabezas de difícil solución,"El text utilitza 4-5 recursos emocionals coordinats: metàfores corporals/mèdiques ('suturar heridas', 'duro golpe'), llenguatge d'urgència ('el reloj corre', 'asfixiar los tiempos'), metàfores de conflicte ('guerra abierta', 'ha pisado el acelerador') i hipèrboles retòriques ('rompecabezas de difícil solución'). No arriba a saturació retòrica (no hi ha majúscules, exclamacions ni anàfores), però la coordinació de metàfores emocionals és prou sostinguda per superar el nivell lleu i situar-se en moderada."
4,Biaix ideològic,Dreta,moderada,"El drama de los autónomos: 1,5 millones de estos trabajadores no se pueden coger bajas sin cerrar su negocio","El framing negatiu 'drama' al titular, amplificat per la cifra '1,5 millones', constitueix un biaix coordinat (framing + cifra = moderada segons rúbrica). A més, el text dona veu gairebé exclusivament a organitzacions d'autònoms (UPTA, ATA, Uatae) i al PP, sense contrastar amb la perspectiva del govern, sindicats de treballadors o la Seguretat Social. La inclusió final de les declaracions d'Ayuso i Feijóo sobre 'fraude' i 'absentisme' sense contrapunt reforça un framing que implícitament culpabilitza els assalariats i el sistema actual, afegint verbs carregats com 'combatir el fraude que se ha extendido'.",moderada,"cada día 1,6 millones de personas no van a trabajar y hay muchas de ellas que pueden evitarlo","La declaració d'Ayuso barreja dades reals d'incapacitat temporal amb la insinuació de frau generalitzat ('muchas de ellas que pueden evitarlo') sense cap evidència ni font que quantifiqui el frau. A més, la cifra de '33.000 millones de euros' de cost atribuïda a la CEOE es presenta sense metodologia ni font documental verificable. El text també afirma que el PP 'propondrá incentivos para premiar al cumplidor y medidas para combatir el fraude que se ha extendido los últimos años', presentant com a fet establert que el frau s'ha estès, sense dades que ho sustensin.",moderada,"cerrar el negocio, paralizar completamente su actividad, dejar de percibir ingresos desde el primer día y asumir el riesgo de perder clientes o incluso de no poder recuperar posteriormente su actividad económica","El text utilitza almenys 4-5 recursos emocionals coordinats: (1) la paraula 'drama' al titular com a etiqueta emocional; (2) l'enumeració acumulativa de conseqüències negatives ('cerrar, paralizar, dejar de percibir, perder clientes') que crea una escalada dramàtica deliberada; (3) l'expressió 'se vean obligados a retrasar las visitas al médico' que apel·la a l'empatia i la injustícia; (4) 'hay demasiada gente que trabaja enferma porque no puede permitirse parar', que evoca patiment i vulnerabilitat; (5) 'tiene más razón que un santo' com a hipèrbole valorativa. Tot i contenir moltes dades, el marc retòric emocional és sostingut."
5,Biaix ideològic,Esquerra,alta,"se labró una nueva crisis política por sus palabras sobre el absentismo laboral. En un intento por criticar el fraude que, quizás, reveló más de lo que quería sobre cuál es su proyecto de país y para quién gobernaría si llega a la Moncloa","El text presenta un biaix ideològic alt i sistemàtic contra Feijóo i el PP. Hi ha framing negatiu estructural constant: 'se labró una nueva crisis', 'el mejor síntoma del error de Feijóo', 'criminaliza a los trabajadores', 'echar leña barata al fuego'. S'utilitzen verbs carregats com 'señalar a la clase trabajadora', 'siembran dudas sobre los médicos'. Es construeix una polarització clara entre bandos: treballadors/metges (víctimes) vs Feijóo/Ayuso (agressors). L'article selecciona exclusivament fonts crítiques amb Feijóo (sindicats, AMYTS) sense cap veu que doni suport o contextualitzi la seva posició. Fins i tot les matisacions internes del PP (Sémper) es presenten com a prova de l'error de Feijóo, i l'únic suport (Ayuso) es desqualifica insinuant que vol 'quitarle su puesto'.",lleu,"los recortes en Sanidad, como los que hay en comunidades que gobierna el PP, causan que aumenten las bajas laborales","S'estableix una relació causal directa entre retallades sanitàries en comunitats del PP i l'augment de baixes laborals sense citar cap estudi, informe o dada concreta que ho sustenti. És una generalització presentada com a fet establert. La resta del text cita fonts identificables (AMYTS, UGT, declaracions públiques de Feijóo), però aquesta afirmació causal concreta manca de suport documental i simplifica un fenomen que el propi text reconeix com a 'complex'.",alta,criminaliza a los trabajadores y genera un clima de sospecha en las empresas,"El text acumula múltiples recursos emocionals coordinats: paraules emocionals intenses ('criminaliza', 'conspiraciones' al titular, 'cáncer', 'leña barata al fuego'), apel·lacions a identitat col·lectiva ('clase trabajadora', 'profesionales sanitarios' com a col·lectiu amenaçat), hipèrboles retòriques ('reveló más de lo que quería sobre cuál es su proyecto de país'), urgència implícita ('evidenció cuál es el objetivo programático que tienen... con todos los trabajadores y su salud'). El titular ja utilitza 'conspiraciones' —paraula molt carregada— quan Feijóo no va formular cap conspiració, sinó una proposta política. La metàfora mèdica ('síntoma del error') es reutilitza irònicament com a recurs retòric. Tot plegat configura una saturació emocional que busca indignació i identificació amb els treballadors/metges."
6,Biaix ideològic,Central,moderada,"La preocupación que se transmite desde la derecha no es en vano: entre 2017 y 2024, las bajas laborales han aumentado un 60%","El text presenta un biaix coordinat de centre-esquerra. Hi ha framing negatiu sistemàtic cap a la dreta: s'atribueix la 'preocupació' explícitament a 'la derecha' com a bloc, es citen declaracions de Feijóo i del president de la CEOE com a exemples de posicions extremes o ridícules ('memos', 'cáncer'), mentre que la veu del metge (contrapart) es presenta com 'la realitat' objectiva. El text utilitza verbs carregats ('calificó', 'llegó a calificar de memos') per denigrar les posicions empresarials i del PP, mentre les del doctor es presenten amb verbs neutres ('explica', 'recalca', 'reivindica'). A més, l'estructura és clarament asimètrica: la proposta de 'polítiques restrictives' es critica sense explicar-la, i no s'inclou cap veu experta que defensi la posició contrària. Són 4-5 indicis coordinats (framing asimètric, verbs carregats diferenciats, selecció tendenciosa de fonts, omissió de contraarguments experts), cosa que situa el biaix en moderada.",lleu,"La Confederación Española de Organizaciones Empresariales (CEOE) calcula que 1,4 millones de personas faltan al trabajo todos los días, lo que provoca un coste de 33.000 millones de euros al año para el sector privado.","Les dades principals estan atribuïdes a fonts identificables (CEOE, AIReF, UGT), cosa que redueix el risc de desinformació. No obstant, la xifra de '33.000 millones de euros' prové de la CEOE (part interessada), i el text la presenta com a fet objectiu sense contextualitzar que és una estimació d'una organització empresarial amb interès directe. De manera similar, la frase 'el fraude existe, pero es minoritario' no s'acompanya de cap dada que quantifiqui aquest frau. És un únic indici aïllat (dada d'una font interessada presentada sense context crític), per la qual cosa es classifica com a lleu.",moderada,calificó el aumento del absentismo laboral de 'cáncer que no podemos pagar' / llegó a calificar [...] de 'memos' a los jóvenes que solicitaban la baja por estos motivos. 'Ahora se les da la baja porque les deja la novia',"El text inclou múltiples recursos emocionals coordinats: (1) la metàfora 'cáncer que no podemos pagar' de Feijóo és una paraula emocionalment molt carregada; (2) l'insult 'memos' als joves apel·la directament a la indignació del públic jove; (3) la trivialització 'porque les deja la novia' busca provocar rebuig emocional; (4) el verb 'reivindica' atribuït al metge implica lluita i dignitat. Encara que formalment són cites textuals, la selecció i col·locació estratègica d'aquestes declaracions (les més provocadores dels polítics de dreta) funciona com a recurs retòric deliberat per generar indignació. Són 4-5 recursos emocionals coordinats, cosa que situa el nivell en moderada."
7,Biaix ideològic,Dreta,alta,"En pleno asedio por los casos de corrupción, Pedro Sánchez ha vuelto a encontrar en Donald Trump un aliado, no tan inesperado como cabría esperar [...] el propio Sánchez ha buscado azuzar e incluso instrumentalizar los choques con el líder de EE.UU. [...] también le ha servido de coartada para escorar los asuntos más espinosos de la agenda nacional y los que generan un mayor desgaste para el Ejecutivo","El text presenta un framing negatiu sistemàtic i coordinat contra Sánchez amb múltiples indicadors: (1) 'asedio por la corrupción' repetit dues vegades com a marc estructural, (2) verbs carregats que impliquen intencionalitat manipuladora: 'azuzar', 'instrumentalizar', 'exprimir', 'escorar', (3) 'coartada' implica engany deliberat, (4) 'desgaste' com a framing negatiu, (5) la narrativa completa presenta Sánchez com un estratega cínic que utilitza Trump per tapar la corrupció, sense considerar cap interpretació alternativa legítima, (6) 'se aferran al paraguas europeo' implica debilitat. Tot l'article està construït des d'una tesi editorial antigovernamental presentada com a crònica informativa, cosa que constitueix biaix polaritzant i sistemàtic.",moderada,"Nada sobre las diversas causas judiciales que cercan al Gobierno, desde José Luis Rodríguez Zapatero a Leire Díez, que quedaron totalmente opacadas por el choque con el líder norteamericano","Hi ha múltiples indicadors: (1) S'afirma com a fet que Sánchez busca 'instrumentalizar' el conflicte amb Trump per tapar corrupció, presentant una interpretació editorial com si fos un fet verificat, sense cap font que ho confirmi. (2) 'Objetivo conseguido' s'enuncia com a conclusió factual d'una estratègia que és pura especulació de l'autor. (3) La vinculació Zapatero-Leire Díez amb 'causas que cercan al Gobierno' és una generalització que barreja situacions judicials molt diferents sense precisió. No hi ha dades falses flagrants, però la presentació de supòsits com a fets contrastats i l'omissió de context alternatiu configuren desinformació moderada.",moderada,En pleno asedio [...] azuzar e incluso instrumentalizar [...] coartada para escorar los asuntos más espinosos [...] causas judiciales que cercan al Gobierno [...] arremetió con dureza [...] se aferran al paraguas europeo,"S'identifiquen 4-5 recursos emocionals coordinats: (1) Metàfores bèl·liques que evoquen setge i amenaça: 'asedio', 'cercan', 'pertrechada', 'arremetió'. (2) Paraules amb càrrega emocional negativa: 'azuzar', 'instrumentalizar', 'coartada', 'espinosos'. (3) L'estructura narrativa genera una sensació de cinisme i engany que apel·la a la indignació del lector. (4) Les cites directes de Trump ('causa perdida', 'aliado terrible', 'corten todo el comercio') s'insereixen sense contrapès emocional, amplificant l'efecte dramàtic. No arriba a alta perquè no hi ha exclamacions, majúscules, urgència explícita ni apel·lacions directes a la identitat del lector."
8,Biaix ideològic,Central,lleu,ha vuelto a cargar contra el Gobierno español,"El text és majoritàriament informatiu i presenta les dues parts (Trump i la resposta del govern espanyol). Hi ha indicis aïllats de framing lleugerament favorable a la posició espanyola: l'ús de 'cargar contra' implica agressivitat de Trump, i l'explicació legal detallada sobre per què la mesura seria 'tumbada' pels tribunals suggereix que l'amenaça és infundada. El terme 'bazuca' al titular afavoreix la narrativa de fortalesa espanyola. Tot i això, no hi ha polarització sistemàtica ni denigració coordinada; el text cita fonts i context legal.",lleu,"Este instrumento, creado en 2021, se utilizó en 2023 frente a China, luego de que Pekín bloqueara las importaciones lituanas como represalia política","L'Instrument Anti-Coerció va ser adoptat el 2023 (Reglament 2023/2675), no el 2021 com afirma el text. A més, tot i que es va crear amb el cas lituà com a context, no es va 'utilitzar' formalment contra la Xina sinó que va servir com a eina de dissuasió. Aquesta imprecisió és un indici aïllat de dada inexacta sense font verificable, però no configura una narrativa enganyosa coordinada.",lleu,España es una causa perdida. Ya no queremos hacer ningún negocio comercial con ellos. Quiero que lo corten. Es un aliado terrible en la OTAN.,"El llenguatge emocional més intens prové de les cites textuals de Trump ('causa perdida', 'aliado terrible', 'corten todo'), que el text reprodueix com a informació periodística legítima, no com a recurs retòric propi. El titular usa 'bazuca' com a metàfora bèl·lica que aporta dramatisme, però és un terme tècnic establert. El text en si manté un to predominantment expositiu i no satura amb recursos emocionals propis de l'autor."
9,Biaix ideològic,Esquerra,moderada,"España es una causa perdida. Por cierto, ya no queremos hacer ningún negocio comercial con España. Quiero que lo corten. España es un aliado terrible en la OTAN. No participan. No pagan. No quiero saber nada de España. Corten todo el comercio con España, por favor, incluidas las visitas","El text reprodueix àmpliament les declaracions negatives de Trump sobre Espanya ('causa perdida', 'aliado terrible', 'se portó muy mal', 'socio terrible') amb un framing negatiu estructural que domina bona part de l'article. Tot i que també recull el canvi de to posterior ('se redimió', 'muy generosa'), la juxtaposició crea un relat polaritzat entre càstig i redempció. El text no és purament neutral: selecciona i ordena declaracions per construir un arc narratiu de tensió-resolució que emfatitza el poder unilateral de Trump sobre Espanya. No arriba a alta perquè no hi ha denigració editorial pròpia del mitjà, sinó citació directa, i s'inclou la perspectiva espanyola mínimament (Sánchez considera innecessari el 5%).",moderada,España 'se redimió por completo' después de que el Gobierno del país ibérico accediera a una 'importante solicitud de pago' a la OTAN... El mandatario no precisó a qué 'importante solicitud de pago' se refería.,"El titular i el cos de la notícia presenten com a fet consumat que Espanya va accedir a una 'important sol·licitud de pagament', però el propi text reconeix que Trump no va precisar a què es referia i no s'ofereixen detalls ni fonts que ho confirmin. Es presenta una afirmació no verificada de Trump com a realitat factual sense contrastar-la amb fonts del govern espanyol. A més, la xifra del 5% del PIB en defensa es presenta sense context sobre quants aliats la compleixen realment (cap), creant una impressió distorsionada de l'excepcionalitat espanyola.",moderada,"se redimió por completo; se portó muy mal; amenazó con detener 'completamente' el comercio bilateral; España es una causa perdida; aliado terrible; No quiero saber nada de España; Corten todo el comercio con España, por favor, incluidas las visitas","El text acumula múltiples paraules i expressions emocionalment carregades: 'redimió' (religiós/moral), 'causa perdida' (desesperança), 'terrible' (intensificador negatiu), 'amenazó', 'tensión', 'unidad tremenda', 'bastante impresionante'. La retòrica de càstig-perdó ('se portó muy mal' → 'se redimió') apel·la a una dinàmica emocional de subordinació. Tot i que gran part són citacions directes de Trump, la selecció i l'acumulació d'aquestes expressions al llarg del text genera una saturació emocional significativa amb almenys 5 recursos retòrics coordinats: paraules emocionals intenses, urgència implícita, hipèrboles ('completamente', 'todo'), dinàmica amenaça/recompensa i framing moral."
10,Biaix ideològic,Dreta,alta,"¿Con Franco se vivía mejor? Desde mi punto de vista sí. Había ciertas cosas en aquellos tiempos en las que no estabamos modernizados, pero había tranquilidad trabajando, no había problemas, podías pasear por la calle tranquilamente y podías dejar la puerta de casa abierta sin miedo.","El text presenta un framing nostàlgic sistemàtic del franquisme com a època de 'tranquil·litat', 'sense problemes', 'sense por', ometent deliberadament la repressió política, la censura, la manca de drets civils i les execucions del règim. Es construeix un bando implícit: l'ordre franquista (positiu) vs. la democràcia actual (negativa, amb 'dejadez', 'libertad malentendida', 'inseguridad'). L'analogia deformant és total: es presenta una dictadura com a model desitjable, denigrant implícitament el sistema democràtic actual. Hi ha múltiples indicis coordinats: framing nostàlgic estructural, bandos enfrontats (abans vs. ara), verbs carregats ('dejadez de funciones', 'no le dejan actuar'), i la petició explícita de 'mano dura' policial.",alta,"no había problemas, podías pasear por la calle tranquilamente y podías dejar la puerta de casa abierta sin miedo... Ahora la policia tiene mucha dejadez de funciones porque no le dejan actuar como deben actuar","El text conté una narrativa coordinada enganyosa amb múltiples claims falsos o distorsionats: 1) Que amb Franco 'no hi havia problemes' i es vivia amb tranquil·litat total (omet repressió, tortura, presoners polítics, pobresa extrema, emigració massiva). 2) La generalització abusiva que la policia actual té 'dejadez de funciones' sense cap dada ni font. 3) La falsa causalitat que la inseguretat actual es deu a la 'llibertat malentesa' democràtica. 4) L'omissió deliberada que la 'tranquil·litat' franquista era producte del terror d'Estat, no de l'ordre social genuí. Tot plegat constitueix una narrativa revisionista històrica presentada com a testimoni fiable.",moderada,"sin miedo... teníamos esa tranquilidad... teníamos temor, tu tenías 18 años y llevabas el pelo largo y tenías temor de que te parara la policia... con mas mano dura como en su momento","S'utilitzen 3-5 recursos emocionals coordinats: 1) Paraules emocionals repetides ('tranquilidad' x4, 'miedo', 'temor') per evocar nostàlgia i por. 2) Apel·lació a la identitat generacional ('yo era joven', 'tenía 15 años') que genera credibilitat emocional. 3) Imatges quotidianes idealitzades ('dejar la puerta abierta', 'pasear por la calle') que apel·len a un passat idíl·lic. 4) El format conversacional (pregunta-resposta amb joves) amplifica l'efecte emocional en presentar-ho com a testimoni directe autèntic. No arriba a alta perquè no hi ha MAJÚSCULES, exclamacions excessives ni hipèrboles numèriques, però la coordinació de nostàlgia + por + autoritat testimonial és clarament manipulativa."
