Id,Categoria,Ideologia,biaix_intensitat,biaix_fragment,biaix_explicacio,desinformacio_intensitat,desinformacio_fragment,desinformacio_explicacio,emocional_intensitat,emocional_fragment,emocional_explicacio
101,Biaix ideològic,Dreta,lleu,desplegó durante toda la jornada del lunes a varios ministros para exigir a Alberto Núñez Feijóo que se desmarque,"El verb 'desplegó' i 'exigir' són lleugerament carregats, suggerint una acció coordinada i agressiva per part de la Moncloa. El framing presenta el Govern com a actor que ataca i el PP com a actor que es defensa ('quita hierro', 'fue sin mala intención'). Tot i això, el text és majoritàriament descriptiu i narra fets verificables sense polarització extrema ni insults, per la qual cosa el biaix és només lleu.",nul·la,,"El text relata fets públics i verificables: la columna de Rajoy, la frase concreta sobre la selecció francesa, la reacció del Govern i la resposta del PP. No hi ha xifres sense font, ni generalitzacions abusives, ni claims que contradiguin fets públics. La informació és contrastable amb fonts periodístiques.",lleu,acabó en un nuevo frente de confrontación política,"L'expressió 'frente de confrontación' i el verb 'desencadenó' tenen una càrrega lleugerament dramàtica que amplifiquen la gravetat de l'episodi. També 'choque diplomático' al titular afegeix tensió. Tanmateix, són només 2-3 recursos aïllats i el to general del text és narratiu-informatiu, sense urgència, exclamacions ni hipèrboles extremes."
102,Biaix ideològic,Esquerra,alta,El PP enfanga las relaciones con Francia... los populares rechazaron... lo que se suma al revuelo generado por Rajoy lanzando el bulo racista... el Partido Popular está enfangando las relaciones con el país vecino,"El text presenta un framing negatiu sistemàtic i coordinat contra el PP: (1) verb carregat 'enfanga' repetit dues vegades, que implica culpabilitat moral deliberada; (2) 'lanzando el bulo racista' és una qualificació valorativa intensa que atribueix intenció maliciosa i racisme directe; (3) 'revuelo generado por' carrega tota la responsabilitat en un sol actor; (4) estructura de bando únic com a culpable: tot el text gira al voltant del PP com a responsable exclusiu de deteriorar les relacions bilaterals; (5) no hi ha cap veu del PP ni context alternatiu; (6) el titular mateix és un framing negatiu estructural ('enfanga'). Són 6+ indicis coordinats de biaix contra un partit concret, amb verbs carregats, paraules valoratives intenses i omissió de la perspectiva contrària.",moderada,Rajoy lanzando el bulo racista de que la mayoría de los jugadores de la selección gala 'no son franceses' por su color de piel,"Hi ha diversos indicis: (1) S'atribueix a Rajoy haver dit que els jugadors 'no son franceses' per 'su color de piel', però no es cita la font original ni es proporciona la cita textual completa de Rajoy, cosa que pot descontextualitzar les paraules reals; (2) es qualifica directament com a 'bulo racista' sense oferir la cita exacta perquè el lector jutgi per si mateix; (3) la interpretació 'por su color de piel' és una inferència presentada com a fet, sense demostrar que Rajoy ho vinculés explícitament al color de pell. Es construeix una narrativa sobre declaracions d'altri sense la citació verificable ni la font concreta.",moderada,enfanga las relaciones... revuelo generado... lanzando el bulo racista... enfangando las relaciones... pelearán en semifinales,"El text utilitza múltiples recursos emocionals coordinats: (1) paraula emocional intensa 'enfanga' (evoca brutícia moral) repetida dues vegades per saturació; (2) 'bulo racista' activa indignació moral i rebuig visceral; (3) 'revuelo' amplifica la sensació de caos; (4) la juxtaposició del context esportiu (semifinal del Mundial) amb el conflicte polític crea una narrativa de perill/amenaça a quelcom que el públic jove valora (el futbol). Són 4-5 recursos retòrics coordinats per generar indignació contra el PP, situant-se en el nivell moderat."
103,Biaix ideològic,Central,lleu,sigue acumulando críticas y se mantiene firme,"El text presenta un lleuger framing negatiu cap a Rajoy amb l'ús de 'acumulando críticas' (acumulació de pressió) combinat amb 'se mantiene firme' (tossuderia implícita). No obstant, el text reporta fets reals (la polèmica va existir) i inclou múltiples veus (Govern espanyol, francès, polítics de tots els signes), cosa que mostra pluralitat. No hi ha polarització extrema ni denigració directa; és un biaix subtil d'enquadrament narratiu on Rajoy apareix com a figura problemàtica, però sense arribar a coordinació sistemàtica.",nul·la,,"El text reporta fets verificables: la columna de Rajoy a El Debate va existir, la frase citada és real i les reaccions polítiques i institucionals van ser àmpliament documentades. No hi ha cifres sense font, generalitzacions abusives ni narratives enganyoses. La informació és contrastable amb fonts públiques.",moderada,ha quedado eclipsada por una polémica que ha trascendido el terreno de juego,"S'identifiquen 3-4 recursos emocionals coordinats: (1) hipèrbole amb 'protagonista inesperado' i 'ha quedado eclipsada' per dramatitzar l'impacte; (2) paraules emocionals carregades com 'cascada de reacciones', 'acusaciones de racismo y xenofobia' que amplifiquen la gravetat; (3) l'expressió 'ha trascendido el terreno de juego' crea narrativa de crisi que desborda l'àmbit esportiu; (4) 'polémica' com a mot recurrent per mantenir la tensió narrativa. Tot plegat construeix una atmosfera de drama i escàndol que va més enllà de la descripció neutra dels fets."
104,Llenguatge emocional,Dreta,alta,"no están ni para menas ni para mordidas, ni para mantener a media África. Los españoles primero.",Biaix ideològic extrem amb múltiples indicadors coordinats: (1) Polarització explícita 'nosaltres vs ells' amb 'Los españoles primero' com a eslògan nativista que estableix una jerarquia ètnica; (2) Terme despectiu 'menas' (deshumanitza menors migrants); (3) Framing negatiu estructural que presenta la immigració com a amenaça econòmica directa; (4) Denigració d'un col·lectiu sencer ('media África') amb generalització racialitzada; (5) Bandos enfrontats explícitament: 'españoles' vs immigrants/africans; (6) 'Mordidas' implica corrupció sistemàtica del govern sense prova. Són 6+ indicis coordinats de polarització extrema.,moderada,ni para mantener a media África,"Múltiples indicis de desinformació: (1) Generalització abusiva hiperbòlica ('media África') que distorsiona completament la realitat de la immigració i la despesa pública associada; (2) Implica sense cap dada ni font que els impostos es destinen massivament a immigrants africans, una narrativa que contradiu les dades pressupostàries públiques; (3) 'Mordidas' presenta com a fet sistèmic la corrupció sense cap evidència concreta. Omissió deliberada de context sobre com funcionen realment els pressupostos públics.",alta,"no están ni para menas ni para mordidas, ni para mantener a media África. Los españoles primero.","Saturació retòrica amb 6+ recursos: (1) Apel·lació a identitat nacional ('los españoles', 'Los españoles primero'); (2) Paraules emocionals de rebuig i amenaça ('menas', 'mordidas'); (3) Hipèrbole extrema ('media África'); (4) Anàfora amb estructura repetitiva 'ni para... ni para... ni para' que acumula indignació progressiva; (5) Eslògan final imperatiu ('Los españoles primero') com a crida a l'acció identitària; (6) Construcció retòrica de contrast emocional: primer esmenta serveis positius (vivenda, serveis públics) i després els contraposa amb elements negatius (menas, mordidas, África) per maximitzar la indignació."
105,Llenguatge emocional,Esquerra,moderada,Un sujeto se hace pasar por un fan de las columnas de Rajoy para soltar un discurso xenófobo y racista INACEPTABLE,"El text presenta un framing negatiu coordinat: es qualifica la persona com 'un sujeto' (despectiu), s'atribueix intenció enganyosa ('se hace pasar por'), i s'etiqueta el discurs com 'xenófobo y racista' sense mostrar-ne el contingut complet perquè el lector jutgi. Hi ha valoració moral intensa ('INACEPTABLE', 'VERGÜENZA') i demanda de censura ('NO SE PUEDE PERMITIR NI EN UNA TV, NI EN NINGÚN ESPACIO'). Tot i que la condemna del racisme és legítima, el framing és unidireccional i carregat, amb 4-5 indicis coordinats (despersonalització, atribució d'intenció, etiquetatge moral, demanda de censura). No arriba a alta perquè no hi ha polarització explícita nosaltres/ells ni analogies deformants sistemàtiques.",lleu,llegando a decir que Lamine Yamal no es español,"Es presenta una afirmació atribuïda a una persona ('llegando a decir que Lamine Yamal no es español') sense context complet ni font verificable (no s'identifica el programa, la persona ni es proporciona clip o transcripció). El lector no pot verificar exactament què es va dir ni en quin context. És un sol indici (claim sense font directa completa), per tant lleu.",alta,"INTOLERABLE. [...] INACEPTABLE [...] ESTO NO SE PUEDE PERMITIR NI EN UNA TV, NI EN NINGÚN ESPACIO EN ESTE PAÍS. ESTO ES UNA VERGÜENZA.","Saturació retòrica amb 6+ recursos coordinats: (1) MAJÚSCULES massives ('INTOLERABLE', 'INACEPTABLE', 'ESTO NO SE PUEDE PERMITIR', 'ESTO ES UNA VERGÜENZA') com a crit visual; (2) paraules emocionals intenses ('intolerable', 'inaceptable', 'vergüenza', 'xenófobo', 'racista'); (3) urgència i indignació moral imperant; (4) anàfora amb 'ESTO' repetit dues vegades per martellejar; (5) hipèrbole amb 'NI EN NINGÚN ESPACIO EN ESTE PAÍS' (absolutisme); (6) estructura exclamativa implícita en tot el text. El text està dissenyat per provocar indignació immediata, no reflexió."
106,Llenguatge emocional,Dreta,alta,Pedro Sánchez consuma su traición a España y a los españoles. España humillada y de rodillas por su interés personal.,"El text presenta un biaix ideològic extrem amb múltiples indicadors coordinats: (1) Paraules valoratives intensíssimes: 'traición', 'barbaridad'. (2) Framing negatiu estructural reforçat: 'humillada', 'de rodillas', 'interés personal'. (3) Verbs carregats amb culpabilitat moral: 'consuma' (implica premeditació maliciosa). (4) Bandos enfrontats explícits: Sánchez vs 'España y los españoles' (un individu contra tot un poble). (5) Denigració directa: se l'acusa de traïdor sense matisos. (6) Reducció deformant: es presenta l'amnistia com a simple compravenda de vots ('a cambio de votos'). Són 6+ indicis coordinats i sistemàtics amb polarització extrema.",moderada,Amnistía y referéndum a cambio de votos. España humillada y de rodillas por su interés personal.,"Hi ha múltiples indicis de desinformació: (1) Presentar com a fet consumat ('consuma') un procés legislatiu complex, sense context sobre els mecanismes democràtics i parlamentaris implicats. (2) L'afirmació 'referéndum a cambio de votos' és una simplificació enganyosa que omet el context de negociacions polítiques i presenta una narrativa reduccionista com a veritat absoluta. (3) 'España humillada y de rodillas' és una valoració subjectiva extrema presentada com a descripció factual de la realitat, sense cap dada que la sustenti. L'omissió deliberada de context (debat parlamentari, posicions plurals, marc legal) configura una narrativa coordinada enganyosa.",alta,Pedro Sánchez consuma su traición a España y a los españoles. España humillada y de rodillas por su interés personal... esta barbaridad.,"Saturació retòrica amb 6+ recursos emocionals coordinats: (1) Paraules emocionals d'alta càrrega: 'traición', 'humillada', 'de rodillas', 'barbaridad'. (2) Apel·lació directa a identitat nacional: 'a España y a los españoles' (vincular l'atac a tota la nació). (3) Urgència implícita: 'consuma' suggereix un acte irreversible imminent. (4) Hipèrbole extrema: 'de rodillas' evoca submissió total. (5) Apel·lació al nosaltres col·lectiu: 'recurriremos' (primera persona plural com a defensors). (6) Metàfora corporal humiliant ('de rodillas') dissenyada per provocar indignació visceral. El text busca deliberadament activar ràbia, por i sentiment de greuge nacional."
107,Llenguatge emocional,Esquerra,moderada,"La extrema derecha no va a dejar un espacio libre de su odio y quienes hoy callan, serán cómplices.","Hi ha framing negatiu estructural contra un sector ideològic concret ('extrema derecha') associat directament a 'odio'. S'estableixen bandes enfrontades implícites: els que treballen per la tolerància vs. l'extrema dreta. El terme 'cómplices' és un verb carregat que imputa culpabilitat moral a qui no s'alinea amb la posició de l'emissor. Són 3-4 indicis coordinats (framing negatiu + paraula carregada 'odio' + bandes implícites + verb de culpabilitat 'cómplices'), però no arriba a alta perquè no hi ha insultes directes, analogies deformants ni polarització extrema tipus 'nosaltres vs enemics'.",lleu,Los insultos y cánticos racistas nos avergüenzan como sociedad.,"Es fa referència a uns fets concrets ('insultos y cánticos racistas') sense especificar quins, on ni quan, cosa que impedeix la verificació. La generalització 'nos avergüenzan como sociedad' atribueix un sentiment col·lectiu a tota la societat sense cap dada de suport. És un sol indicador (generalització abusiva sense suport), per tant lleu.",alta,"Los insultos y cánticos racistas nos avergüenzan como sociedad. La extrema derecha no va a dejar un espacio libre de su odio y quienes hoy callan, serán cómplices. Seguimos trabajando por un país tolerante y respetuoso con todos.","Saturació retòrica amb 6+ recursos coordinats: (1) paraules emocionals intenses: 'avergüenzan', 'odio', 'cómplices', 'racistas'; (2) apel·lació a identitat col·lectiva: 'nos... como sociedad', 'seguimos trabajando'; (3) urgència implícita: 'quienes hoy callan' (si no actues ARA, ets cómplice); (4) hipèrbole: 'no va a dejar un espacio libre de su odio'; (5) dicotomia moral: tolerància/respecte vs. odi/racisme; (6) culpabilització emocional: 'serán cómplices' com a pressió sobre el lector. Tot el text és una estructura retòrica dissenyada per provocar vergonya, por i culpa."
108,Llenguatge emocional,Esquerra,moderada,Feijóo debe desautorizar las declaraciones de Rajoy,"Hi ha un framing negatiu dirigit contra un bàndol polític concret (PP: Feijóo i Rajoy), presentant-los com a responsables implícits de racisme i xenofòbia. El verb 'desautorizar' implica culpabilitat moral del partit. A més, s'estableix un bàndol implícit 'nosaltres' ('no vamos a permitir') vs 'ells' (Feijóo/Rajoy associats al 'veneno'). Són 3 indicis coordinats: framing negatiu associant un partit a racisme, verb carregat moralment, i polarització nosaltres/ells.",lleu,las declaraciones de Rajoy,"Es fa referència a unes 'declaraciones de Rajoy' sense especificar quines són, quan es van produir ni quin és el contingut exacte. Això impedeix al lector verificar si la caracterització com a racistes o xenòfobes és justa o és una distorsió. És un indici aïllat d'omissió de context rellevant.",alta,El racismo y la xenofobia son enfermedades graves del alma. No vamos a permitir que nadie introduzca ese veneno en nuestro país.,"Saturació retòrica amb múltiples recursos coordinats: (1) metàfora intensa 'enfermedades graves del alma', (2) metàfora de 'veneno', (3) apel·lació a identitat col·lectiva 'nuestro país', (4) urgència i amenaça 'no vamos a permitir', (5) hipèrbole moral equiparant declaracions polítiques a malaltia i verí, (6) to imperatiu 'debe desautorizar'. Són 6+ recursos retòrics coordinats dissenyats per provocar indignació i rebuig emocional intens."
109,Desinformació,Dreta,alta,"El porcentaje de vivienda social que le corresponde a un extranjero es 0, porque los impuestos que pagan los españoles sin casa tienen que ser para los españoles sin casa","Biaix ideològic alt amb múltiples indicadors coordinats: (1) Framing nativista/xenòfob estructural que presenta els estrangers com a competidors il·legítims; (2) Bandos enfrontats explícits: 'españoles' vs 'extranjeros', polarització nosaltres/ells; (3) Afirmació valorativa extrema 'le corresponde 0' que nega drets de forma categòrica; (4) Framing de greuge: els estrangers 's'han endut' recursos que pertanyen als nacionals; (5) Omissió deliberada que molts estrangers també paguen impostos i cotitzen; (6) Ideologia exclusionària presentada com a lògica econòmica neutra. És biaix sistemàtic i polaritzant.",moderada,En Majadahonda (Madrid) los extranjeros se han llevado casi el 50% de las viviendas sociales representando el 12% de la población,"Múltiples indicadors: (1) Cifra concreta 'casi el 50%' sense citar cap font verificable ni registre oficial; (2) Dada '12% de la población' tampoc referenciada; (3) Generalització abusiva: un cas municipal concret (Majadahonda) s'utilitza per construir una narrativa sistèmica sobre estrangers i habitatge social; (4) L'afirmació 'el porcentaje que le corresponde es 0' és falsa jurídicament, ja que els residents legals tenen dret a habitatge social segons la legislació vigent, contradient fets públics i normativa.",moderada,los extranjeros se han llevado casi el 50% de las viviendas sociales... los impuestos que pagan los españoles sin casa tienen que ser para los españoles sin casa,"Recursos emocionals coordinats: (1) Verb carregat 'se han llevado' implica espoli o robatori, atribuint intencionalitat negativa; (2) Apel·lació a identitat nacional: repetició de 'españoles' com a grup amb drets exclusius; (3) Apel·lació a greuge i injustícia: 'españoles sin casa' evoca vulnerabilitat dels nacionals davant els estrangers; (4) Retòrica de suma zero que genera por i indignació; (5) L'expressió categòrica 'es 0' funciona com a hipèrbole retòrica per provocar reacció emocional."
110,Desinformació,Dreta,alta,una empresa dedicada al trafico de personas... PUTREFACTOS... Estas podrido,"Biaix ideologic extrem i sistematic amb multiples indicadors coordinats: framing negatiu, bandos enfrontats, paraules valoratives extremes, denigracio directa amb noms racistes inventats. Mes de 6 indicadors coordinats.",alta,una supuesta ONG dedicada al trafico de personas... confiscar los bienes... inmigrantes ilegales que llevan anos delinquiendo,"Narrativa enganyosa coordinada: acusacio greu de trafic de persones sense proves, afirmacio sense evidencia de confiscacio de bens, generalitzacio abusiva sobre immigrants. Narrativa conspirativa sense fonts.",alta,PUTREFACTOS!... De que cojones vais?... nuestra gente se ahogaba... convirtiendo el barrio en un infierno... Estas podrido,"Saturacio retorica total: paraules emocionals intenses, MAJUSCULES per cridar, exclamacions agressives, apel-lacio a identitat grupal, hiperboles, amenaces emocionals. Disseny per provocar rabia i indignacio."
