Id,Categoria,Ideologia,num_palabras,densidad_senales,biaix_intensitat,biaix_confianza,biaix_palabras,biaix_enmarcado,biaix_verbos,emocional_intensitat,emocional_confianza,emocional_identidad,emocional_palabras,emocional_urgencia,emocional_repeticiones,emocional_mayusculas,desinfo_intensitat,desinfo_indicios,desinfo_generaliza,desinfo_mensaje
1,Biaix ideològic,Dreta,527,1.52,alta,alta,,"sin rumbo, vacío de liderazgo, fuga, herida, no logra","admite, reconoce",lleu,baixa,,,,en la,,nul·la,,,No se detectan indicios claros por reglas.
2,Biaix ideològic,Esquerra,745,1.74,alta,alta,,"sin fuste, menguado, debilidad, crisis, incógnita, sumido, ni tan siquiera, apenas, de trámite, sin oposición",se limitó,lleu,baixa,,,,"martínez y, que se",,nul·la,,,No se detectan indicios claros por reglas.
3,Biaix ideològic,Central ,940,0.64,moderada,mitjana,,"herida, crisis, incógnita, desorientación",admite,lleu,baixa,,amenaza,,,,nul·la,,,No se detectan indicios claros por reglas.
4,Biaix ideològic,Dreta,793,0.25,nul·la,baixa (cap indici trobat),,,,lleu,baixa,,,,"en el, pasando de",,nul·la,,"cada día, todos ellos",No se detectan indicios claros por reglas.
5,Biaix ideològic,Esquerra,1004,0.5,lleu,baixa,criminal,crisis,,moderada,mitjana,"la clase trabajadora, los trabajadores",cáncer,,,,nul·la,,"cada día, nadie, la mayoría de",No se detectan indicios claros por reglas.
6,Biaix ideològic,Central,888,0.56,moderada,mitjana,"corrupto, corruptos",,reconoce,lleu,baixa,los jóvenes,cáncer,,,,nul·la,,"todos los días, la mayoría de",No se detectan indicios claros por reglas.
7,Biaix ideològic,Dreta,825,1.09,alta,alta,,"asedio, desgaste","reconoció, arremetió, se aferra, se aferran, no quiso",lleu,baixa,nuestro país,amenaza,,,,nul·la,,,No se detectan indicios claros por reglas.
8,Biaix ideològic,Central,752,0.27,nul·la,baixa (cap indici trobat),,,,lleu,baixa,,amenaza,,el presidente,,nul·la,,,No se detectan indicios claros por reglas.
9,Biaix ideològic,Esquerra,706,0.0,nul·la,baixa (cap indici trobat),,,,nul·la,baixa (cap indici trobat),,,,,,nul·la,,,No se detectan indicios claros por reglas.
10,Biaix ideològic,Dreta,195,1.03,nul·la,baixa (cap indici trobat),,,,lleu,baixa,,"miedo, temor",,,,lleu,da datos concretos sin citar ninguna fuente,,"Hay indicios de desinformación, se recomienda investigar a fondo."
11,Llenguatge emocional,Dreta,256,1.17,lleu,baixa,fanática,,,lleu,baixa,"los españoles, las mujeres",,,,,nul·la,,,No se detectan indicios claros por reglas.
12,Llenguatge emocional,Dreta,105,0.95,nul·la,baixa (cap indici trobat),,,,lleu,baixa,las mujeres,,,,,nul·la,,,No se detectan indicios claros por reglas.
13,Llenguatge emocional,Esquerra,562,0.89,nul·la,baixa (cap indici trobat),,,,moderada,mitjana,"nuestro país, las mujeres","lucha, dignidad",,las mujeres,,nul·la,,nadie,No se detectan indicios claros por reglas.
14,Llenguatge emocional,Esquerra,184,4.89,moderada,mitjana,"reaccionario, retrógradas",,,alta,alta,"nuestras hijas, las víctimas, nuestros hijos","cáncer, lucha, dignidad",,,,lleu,da datos concretos sin citar ninguna fuente,,"Hay indicios de desinformación, se recomienda investigar a fondo."
15,Llenguatge emocional,Dreta,331,8.46,lleu,baixa,cobardes,,,alta,alta,"el pueblo, nuestros hijos","miedo, mentira, miseria, esclavos, sumisos, desgarra, duele, tristeza, llorando, cobardes",,se trata,,lleu,generaliza a partir de casos sueltos,nadie,"Hay indicios de desinformación, se recomienda investigar a fondo."
16,Llenguatge emocional,Dreta,217,3.23,nul·la,baixa (cap indici trobat),,,,alta,alta,"los españoles, las personas más humildes","miseria, ruina, profanar, denigran, lucha",,,,nul·la,,,No se detectan indicios claros por reglas.
17,Llenguatge emocional,Esquerra,25,8.0,nul·la,baixa (text molt curt),,,,lleu,baixa (text molt curt),,,"antes de que sea tarde, no lo podemos permitir",,,nul·la,,,No se detectan indicios claros por reglas.
18,Llenguatge emocional,Esquerra,43,13.95,nul·la,baixa (cap indici trobat),,,,alta,alta,las mujeres,"furia, lucha, dignidad",no vamos a parar,que viva,,nul·la,,,No se detectan indicios claros por reglas.
19,Llenguatge emocional,Dreta,24,8.33,lleu,baixa (text molt curt),tirano,,,lleu,baixa (text molt curt),,invasión,,,,lleu,da datos concretos sin citar ninguna fuente,,"Hay indicios de desinformación, se recomienda investigar a fondo."
20,Llenguatge emocional,Dreta,339,0.88,nul·la,baixa (cap indici trobat),,,,moderada,mitjana,,"degradando, paliza",pan de cada día,,,nul·la,,"siempre son los mismos, siempre son, cada día, pan de cada día",No se detectan indicios claros por reglas.
21,Desinformació,,90,1.11,nul·la,baixa (cap indici trobat),,,,lleu,baixa,los españoles,,,,,lleu,da datos concretos sin citar ninguna fuente,,"Hay indicios de desinformación, se recomienda investigar a fondo."
22,Desinformació,,188,1.06,nul·la,baixa (cap indici trobat),,,,lleu,baixa,,,,,,moderada,da datos concretos sin citar ninguna fuente | generaliza a partir de casos sueltos,cada día,"Hay indicios de desinformación, se recomienda investigar a fondo."
23,Desinformació,,108,0.93,lleu,baixa,,apenas,,nul·la,baixa (cap indici trobat),,,,,,nul·la,,,No se detectan indicios claros por reglas.
24,Desinformació,,50,0.0,nul·la,baixa (cap indici trobat),,,,nul·la,baixa (cap indici trobat),,,,,,lleu,da datos concretos sin citar ninguna fuente,,"Hay indicios de desinformación, se recomienda investigar a fondo."
